trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.618, 'e': 1.0}",20,0,-67.08336207919324,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.61182, 'e': 0.99}",20,6,-18.58120649283923,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.6057018, 'e': 0.9801}",30,21,-1.3880262042359277,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.599644782, 'e': 0.970299}",25,2,-13.901143640025824,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.59364833418, 'e': 0.96059601}",20,12,-31.67664360257097,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5877118508382, 'e': 0.9509900498999999}",25,0,-84.3532169138779,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.581834732329818, 'e': 0.941480149401}",20,11,-23.957041861550795,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5760163850065197, 'e': 0.9320653479069899}",20,0,-74.30005763630037,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5702562211564546, 'e': 0.9227446944279201}",25,9,-72.25793752486014,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
10,False,"{'a': 0.5645536589448901, 'e': 0.9135172474836408}",20,13,0.7631596888063192,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5589081223554411, 'e': 0.9043820750088044}",25,7,14.479473514862107,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5533190411318867, 'e': 0.8953382542587164}",20,10,-36.950544517019786,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5477858507205678, 'e': 0.8863848717161292}",20,0,-80.04506208116808,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5423079922133621, 'e': 0.8775210229989678}",20,13,11.513892988873598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5368849122912286, 'e': 0.8687458127689782}",30,13,-104.61147399057565,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
16,False,"{'a': 0.5315160631683162, 'e': 0.8600583546412884}",25,0,-78.6501718457034,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5262009025366331, 'e': 0.8514577710948755}",20,0,-81.26548114027567,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5209388935112668, 'e': 0.8429431933839268}",25,1,-80.75517682846291,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 1}",1
19,False,"{'a': 0.5157295045761541, 'e': 0.8345137614500875}",20,10,-2.6519855292307772,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5105722095303925, 'e': 0.8261686238355866}",25,17,-40.85468550681779,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5054664874350886, 'e': 0.8179069375972308}",20,13,-14.95729649909128,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5004118225607377, 'e': 0.8097278682212584}",20,0,9.712742765846174,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.4954077043351303, 'e': 0.8016305895390459}",20,2,-97.2108407685714,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.49045362729177905, 'e': 0.7936142836436554}",20,11,4.613730071264955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.4855490910188612, 'e': 0.7856781408072188}",30,5,-154.7115654817837,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",1
26,False,"{'a': 0.4806936001086726, 'e': 0.7778213593991467}",30,15,-86.87161961182277,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
27,False,"{'a': 0.47588666410758584, 'e': 0.7700431458051551}",25,16,-36.79477024146977,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
