trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",25,0,-115.84539210227105,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-97.62922265389582,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.994}",25,0,-167.23894355454684,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.992}",30,0,-188.66199799222218,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99}",25,0,-129.73635615648388,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.988}",25,0,-125.743451014718,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.986}",30,0,-163.77807726218015,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.984}",20,0,-28.647348933870557,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.982}",20,0,-129.15250142837613,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.98}",25,0,-120.77383074170885,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.978}",30,0,-140.03803528577467,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.976}",20,0,-144.60445290378954,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.974}",35,0,-210.65238037479685,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.972}",30,0,-60.84260044501132,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
