trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.382, 'e': 1.0}",20,0,-127.57400731277289,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.382, 'e': 0.25}",25,0,-36.57994463033897,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.382, 'e': 0.1111111111111111}",35,20,-48.30287204262653,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.382, 'e': 0.0625}",25,18,2.0184918209295715,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.382, 'e': 0.04}",25,6,30.78440055512262,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.382, 'e': 0.027777777777777776}",25,0,-79.32106333087629,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.382, 'e': 0.02040816326530612}",20,15,-30.412136619395817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.382, 'e': 0.015625}",25,19,-12.656639766639358,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.382, 'e': 0.012345679012345678}",20,0,-27.250787428897542,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.382, 'e': 0.01}",20,8,-0.935158061256222,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.382, 'e': 0.008264462809917356}",20,0,3.058852639767766,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.382, 'e': 0.006944444444444444}",20,5,-59.00118873327185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.382, 'e': 0.005917159763313609}",25,0,-72.0936395909573,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",1
14,False,"{'a': 0.382, 'e': 0.00510204081632653}",25,9,-72.29664775759593,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.382, 'e': 0.0044444444444444444}",25,13,7.334025774154651,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.382, 'e': 0.00390625}",20,10,18.702637965365422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.382, 'e': 0.0034602076124567475}",20,9,12.495614675597412,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.382, 'e': 0.0030864197530864196}",20,0,18.656333708101002,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.382, 'e': 0.002770083102493075}",25,0,0.14597045275321263,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.382, 'e': 0.0025}",20,16,6.105215973520785,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,1.6405112916030211,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-2.8544568156915053,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.02197203113924,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",35,0,-0.14822500093828306,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,19.548589410077504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,0,26.766999484129354,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,34.21423163973787,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,8,31.556791973310872,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,12,18.756951755115743,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,16.3599648033924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",30,0,22.833622610902975,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,31.910359292059034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,3,12.307301285451,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,0,13.77886199285103,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
