trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.49999694115343,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9802960494069208}",25,0,-143.7905384919811,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9611687812379854}",25,0,-60.99734600269336,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9425959091337544}",25,0,-116.36404655731472,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9245562130177514}",25,0,-184.15351764633135,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9070294784580498}",20,6,-70.37092155433248,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.8899964400142398}",20,6,-50.94058331339155,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.8734387282732116}",20,11,-65.50794911866582,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.8573388203017832}",30,0,-233.4276938167511,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.84167999326656}",25,0,-110.09801585922574,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8264462809917354}",25,0,-73.56009226363626,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8116224332440547}",30,14,-85.31311040809183,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.7971938775510203}",25,4,-105.22437842964345,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.7831466833737957}",30,0,-142.0053138830206,"{0: 22, 1: 0, 2: 3, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7694675284702984}",30,0,-148.27446177096917,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.7561436672967863}",20,0,-65.61397409428936,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7431629013079665}",25,0,-44.7827582639994,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.7305135510263713}",20,4,-28.61143191090931,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.7181844297615626}",20,0,-35.72652819630215,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7061648188687237}",30,4,-10.048350851887154,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6944444444444443}",25,16,3.9140810453338553,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6830134553650705}",25,0,-96.48457853663787,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6718624025799514}",25,0,-112.76232942298716,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6609822195782931}",25,11,-62.238972925852586,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6503642039542141}",20,5,-1.2288315617588108,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,10,-12.853958900905193,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.6298815822625344}",25,0,-56.256890527165126,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.6200012400024798}",25,7,-8.317322362454108,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.6103515624999998}",25,20,8.206868150991978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.6009254251547381}",20,9,-48.12552032225783,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.5917159763313607}",30,0,-21.2107455880087,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.5827166249053083}",20,0,-97.42733544521053,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.5739210284664827}",25,0,-49.141433808041484,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5653230821414436}",25,12,-35.969462011897775,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.5569169079973265}",25,9,-28.047557022275125,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.548696844993141}",25,0,-76.39407902339465,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.5406574394463666}",25,8,-34.95090258897268,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.5327934359848684}",20,0,-159.25622845125795,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.5250997689561014}",20,0,-7.3031207601024555,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.5175715542673772}",25,19,10.360427969036818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.5102040816326527}",20,3,-60.743423136395094,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5029928072028568}",25,9,15.645545316763954,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.49593334655822235}",20,0,6.691712524206054,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.48902146804244684}",30,0,-35.537835162509,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.4822530864197528}",30,15,-15.867646398080035,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.47562425683709836}",25,0,-144.1480464887852,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.4691311690748731}",20,0,-45.44073683574784,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.4627701420704334}",20,1,-91.55617116134353,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.4565376186997806}",20,0,-28.908758451784127,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.4504301608035671}",25,9,0.4502603309236146,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.4444444444444442}",30,1,-67.70178813040658,"{0: 22, 1: 0, 2: 4, 3: 3, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.43857725538353554}",20,0,-12.639710323760553,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.4328254847645427}",20,0,-23.855755880403443,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.4271861249946599}",30,7,7.221698291961125,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.42165626581210974}",20,0,-107.56019770928842,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.4162330905306969}",25,2,-46.670118249547805,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.41091387245233374}",20,2,-120.64587831820783,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.4056959714390034}",20,0,-66.57802501870353,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.4005768306361157}",30,10,-108.92814882068366,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",1
