trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.61182, 'e': 0.99}",20,0,-45.17638227568864,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.6057018, 'e': 0.9801}",20,0,-128.68309712421097,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.599644782, 'e': 0.970299}",25,0,-75.94096520475331,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.59364833418, 'e': 0.96059601}",20,0,5.174150440143391,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5877118508382, 'e': 0.9509900498999999}",25,0,-74.43517684859914,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.581834732329818, 'e': 0.941480149401}",25,0,-160.09943836678073,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5760163850065197, 'e': 0.9320653479069899}",30,0,-116.63478395554868,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5702562211564546, 'e': 0.9227446944279201}",25,14,-80.92351585513566,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5645536589448901, 'e': 0.9135172474836408}",30,0,-228.83559921137748,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 5}",0
10,False,"{'a': 0.5589081223554411, 'e': 0.9043820750088044}",25,4,-199.77752974682312,"{0: 11, 1: 2, 2: 1, 3: 4, 4: 3}",1
11,False,"{'a': 0.5533190411318867, 'e': 0.8953382542587164}",25,0,-145.05101351834816,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5477858507205678, 'e': 0.8863848717161292}",20,0,-110.54452521957822,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5423079922133621, 'e': 0.8775210229989678}",25,0,-128.88691342831973,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5368849122912286, 'e': 0.8687458127689782}",25,0,-199.78748974283235,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.5315160631683162, 'e': 0.8600583546412884}",25,0,-134.26354192143285,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5262009025366331, 'e': 0.8514577710948755}",25,0,-56.465386605924635,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5209388935112668, 'e': 0.8429431933839268}",25,0,-187.6375473208607,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5157295045761541, 'e': 0.8345137614500875}",25,8,-177.82181426432783,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 3}",1
19,False,"{'a': 0.5105722095303925, 'e': 0.8261686238355866}",25,0,-115.69593158739626,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5054664874350886, 'e': 0.8179069375972308}",20,0,-151.2502671120722,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.5004118225607377, 'e': 0.8097278682212584}",25,0,-94.17208225316857,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.4954077043351303, 'e': 0.8016305895390459}",25,0,-71.54334872576044,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.49045362729177905, 'e': 0.7936142836436554}",20,0,-63.234340908815454,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.4855490910188612, 'e': 0.7856781408072188}",20,0,-8.895752733951666,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.4806936001086726, 'e': 0.7778213593991467}",20,0,-131.05515558912452,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.47588666410758584, 'e': 0.7700431458051551}",20,0,-63.79784402088559,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.47112779746651, 'e': 0.7623427143471035}",20,0,-124.11320989909673,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.4664165194918449, 'e': 0.7547192872036326}",30,4,-59.96958442704355,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.4617523542969264, 'e': 0.7471720943315961}",30,5,-50.22376959946266,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",1
30,False,"{'a': 0.45713483075395717, 'e': 0.7397003733882802}",20,0,-29.58841622955254,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.45256348244641764, 'e': 0.7323033696543975}",25,0,-64.05437937976458,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.44803784762195337, 'e': 0.7249803359578534}",25,0,-152.90145949061716,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.4435574691457339, 'e': 0.7177305325982749}",20,0,-62.649355548540626,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.4391218944542765, 'e': 0.7105532272722921}",25,0,-90.21153025337125,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.4347306755097337, 'e': 0.7034476949995692}",25,0,-125.58904765080881,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.4303833687546364, 'e': 0.6964132180495735}",20,8,-31.759096113822046,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
37,False,"{'a': 0.42607953506709, 'e': 0.6894490858690777}",25,0,-74.5973422023814,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.42181873971641914, 'e': 0.682554595010387}",20,0,-127.21768088407794,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
39,False,"{'a': 0.4176005523192549, 'e': 0.6757290490602831}",30,22,-11.451495577977294,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.4134245467960624, 'e': 0.6689717585696803}",20,9,-40.39545628536611,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.4092903013281018, 'e': 0.6622820409839835}",20,8,-16.695187019606024,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.40519739831482077, 'e': 0.6556592205741436}",25,9,4.164071183034519,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.40114542433167255, 'e': 0.6491026283684022}",20,1,-49.33749389010989,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
44,False,"{'a': 0.39713397008835577, 'e': 0.6426116020847181}",20,0,-59.633791584903854,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.39316263038747223, 'e': 0.6361854860638709}",25,0,-84.05564232953625,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.3892310040835975, 'e': 0.6298236312032323}",25,8,-8.636903430649957,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.38533869404276155, 'e': 0.6235253948912}",20,0,-14.331746262905549,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.38148530710233397, 'e': 0.617290140942288}",25,9,-67.3382379170115,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.37767045403131055, 'e': 0.611117239532865}",30,0,-73.21453198289694,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.37389374949099746, 'e': 0.6050060671375364}",20,12,2.309856438569682,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.37015481199608746, 'e': 0.598956006466161}",30,0,-62.03736788943794,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.36645326387612664, 'e': 0.5929664464014994}",25,0,-19.37149235287289,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.3627887312373654, 'e': 0.5870367819374844}",25,4,-215.24204727650564,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 5}",1
54,False,"{'a': 0.3591608439249917, 'e': 0.5811664141181095}",30,20,7.042046811454851,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.3555692354857418, 'e': 0.5753547499769285}",20,12,1.0961195231346235,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.35201354313088434, 'e': 0.5696012024771592}",30,21,9.382561946959106,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3484934076995755, 'e': 0.5639051904523875}",20,12,-48.432971692884934,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.34500847362257975, 'e': 0.5582661385478637}",20,8,-33.87625254936894,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.341558388886354, 'e': 0.5526834771623851}",35,3,-35.70626764791888,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 0}",1
60,False,"{'a': 0.33814280499749044, 'e': 0.5471566423907612}",25,3,-5.376767861359438,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.3347613769475155, 'e': 0.5416850759668536}",25,7,-34.59338528196233,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.33141376317804033, 'e': 0.536268225207185}",20,9,-3.7762901190891647,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.32809962554625993, 'e': 0.5309055429551132}",25,0,-30.105236336818777,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.3248186292907973, 'e': 0.525596487525562}",25,9,28.617774318493357,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.32157044299788934, 'e': 0.5203405226503064}",20,8,11.012849881186828,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3183547385679104, 'e': 0.5151371174238033}",20,0,-50.33856734425855,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.31517119118223136, 'e': 0.5099857462495653}",25,0,14.623487196217221,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.312019479270409, 'e': 0.5048858887870696}",25,0,-58.99093822065983,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.3088992844777049, 'e': 0.4998370298991989}",35,23,6.282602099863601,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3058102916329279, 'e': 0.49483865960020695}",20,12,-61.86174534135761,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.30275218871659865, 'e': 0.4898902730042049}",25,0,-30.027737025140294,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.2997246668294326, 'e': 0.48499137027416284}",25,20,11.806403462366728,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2967274201611383, 'e': 0.4801414565714212}",20,0,-88.33076569242199,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.2937601459595269, 'e': 0.47534004200570695}",20,4,20.193306717738317,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
