trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-129.79745884420245,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.9802960494069208}",25,17,-10.048438121226186,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9611687812379854}",20,0,-32.54231187057989,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9425959091337544}",20,0,-5.49014788321766,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9245562130177514}",20,0,-82.86842237113689,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9070294784580498}",25,0,-191.39391206347105,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8899964400142398}",25,16,-17.35643140798938,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.8734387282732116}",20,1,-122.84899372841662,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8573388203017832}",30,20,-48.272796082566735,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.84167999326656}",20,0,-92.67502317899272,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8264462809917354}",20,15,3.868046385943088,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8116224332440547}",20,5,-18.19112724261823,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.7971938775510203}",25,0,-76.06341738842558,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7831466833737957}",20,0,-67.95238594953926,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7694675284702984}",25,4,-52.92878713256369,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7561436672967863}",30,6,-188.66653636246167,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.7431629013079665}",25,9,-75.62947686018009,"{0: 9, 1: 2, 2: 2, 3: 3, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7305135510263713}",20,0,-90.58390330924088,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.7181844297615626}",20,0,7.346512673804678,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7061648188687237}",20,0,-57.492940242235136,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.6944444444444443}",20,0,-52.501397182445594,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6830134553650705}",20,0,-54.78834919811527,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6718624025799514}",20,8,-15.466504115995157,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.6609822195782931}",20,14,-15.23689897862549,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6503642039542141}",20,0,-152.96395001306013,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,12,-161.8054469856152,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.6298815822625344}",30,7,-31.15135810123887,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.6200012400024798}",25,0,-52.35774392758093,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.6103515624999998}",25,0,-109.66771297327993,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
