trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.382, 'e': 0.995}",20,0,-84.67592061685399,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.382, 'e': 0.99}",20,12,-70.40771756534438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.382, 'e': 0.985}",25,0,-226.09331023209825,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.382, 'e': 0.98}",25,14,0.33151569556657434,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.382, 'e': 0.975}",20,0,-56.5629891059819,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.382, 'e': 0.97}",25,0,-86.50832273231879,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.382, 'e': 0.965}",30,0,-114.83640275845605,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.382, 'e': 0.96}",30,0,-121.2869710741671,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.382, 'e': 0.955}",20,11,-4.118749961164269,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.382, 'e': 0.95}",20,0,-184.17391053151394,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
11,False,"{'a': 0.382, 'e': 0.945}",25,15,-47.043630674608316,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.382, 'e': 0.94}",20,0,-95.93574162971481,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.382, 'e': 0.9349999999999999}",30,12,-59.909627411670684,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.382, 'e': 0.9299999999999999}",25,15,3.3836634641074497,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.382, 'e': 0.9249999999999999}",25,17,-18.911126671779304,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.382, 'e': 0.9199999999999999}",30,0,-145.03857671487026,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.382, 'e': 0.9149999999999999}",20,16,6.319737049903495,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.382, 'e': 0.9099999999999999}",35,25,-15.191896035584417,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.382, 'e': 0.9049999999999999}",30,0,-147.32212940217795,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.382, 'e': 0.8999999999999999}",30,0,-175.5319931050651,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
21,False,"{'a': 0.382, 'e': 0.8949999999999999}",20,0,-130.20564582828277,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.382, 'e': 0.8899999999999999}",20,0,-66.15956417726488,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.382, 'e': 0.8849999999999999}",20,0,-105.50251185102205,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
