trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.618, 'e': 1.0}",35,0,-112.30322399199373,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.61182, 'e': 0.99}",20,4,-64.58757033862481,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.6057018, 'e': 0.9801}",30,6,-65.20832248094865,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.599644782, 'e': 0.970299}",25,0,-156.64229751344496,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.59364833418, 'e': 0.96059601}",20,12,-31.39831043763769,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5877118508382, 'e': 0.9509900498999999}",20,0,-144.90078404068157,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.581834732329818, 'e': 0.941480149401}",35,8,-89.34433078922567,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5760163850065197, 'e': 0.9320653479069899}",25,0,-70.44410765973014,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5702562211564546, 'e': 0.9227446944279201}",25,0,-159.69251994391283,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5645536589448901, 'e': 0.9135172474836408}",25,0,-194.9699577267884,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5589081223554411, 'e': 0.9043820750088044}",25,0,-117.93024155942346,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5533190411318867, 'e': 0.8953382542587164}",20,0,-251.1943783515878,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
13,False,"{'a': 0.5477858507205678, 'e': 0.8863848717161292}",20,0,-81.20857849421823,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5423079922133621, 'e': 0.8775210229989678}",20,6,-109.90463987271103,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5368849122912286, 'e': 0.8687458127689782}",25,0,-210.25835966457007,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.5315160631683162, 'e': 0.8600583546412884}",25,15,17.374813576923135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5262009025366331, 'e': 0.8514577710948755}",25,13,-76.37512756014216,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5209388935112668, 'e': 0.8429431933839268}",20,0,-66.53500604857805,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5157295045761541, 'e': 0.8345137614500875}",30,22,-31.507860763752674,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,False,"{'a': 0.5105722095303925, 'e': 0.8261686238355866}",25,0,-120.68323661121008,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.5054664874350886, 'e': 0.8179069375972308}",25,13,0.16213186949500935,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5004118225607377, 'e': 0.8097278682212584}",25,8,-36.55486872877627,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.4954077043351303, 'e': 0.8016305895390459}",20,2,3.4469476160774626,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.49045362729177905, 'e': 0.7936142836436554}",20,5,-28.164763588068837,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
25,False,"{'a': 0.4855490910188612, 'e': 0.7856781408072188}",25,13,-63.57407062705226,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.4806936001086726, 'e': 0.7778213593991467}",20,0,-83.98892356465011,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
27,False,"{'a': 0.47588666410758584, 'e': 0.7700431458051551}",20,0,-108.32968224076517,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.47112779746651, 'e': 0.7623427143471035}",20,2,-186.20285810657901,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 4}",1
29,False,"{'a': 0.4664165194918449, 'e': 0.7547192872036326}",20,5,-13.67632098636017,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.4617523542969264, 'e': 0.7471720943315961}",30,13,-148.5592469576654,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 3}",1
31,False,"{'a': 0.45713483075395717, 'e': 0.7397003733882802}",20,0,-116.00226462346777,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
32,False,"{'a': 0.45256348244641764, 'e': 0.7323033696543975}",20,15,-33.41961085845428,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.44803784762195337, 'e': 0.7249803359578534}",20,11,2.627547062737847,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.4435574691457339, 'e': 0.7177305325982749}",20,0,-68.91149412149144,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.4391218944542765, 'e': 0.7105532272722921}",30,10,-67.56861832320767,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
36,False,"{'a': 0.4347306755097337, 'e': 0.7034476949995692}",30,0,-117.28375377125593,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
37,False,"{'a': 0.4303833687546364, 'e': 0.6964132180495735}",25,12,23.615973315470004,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.42607953506709, 'e': 0.6894490858690777}",20,0,-25.95941293454483,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.42181873971641914, 'e': 0.682554595010387}",20,12,15.313237246691733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.4176005523192549, 'e': 0.6757290490602831}",25,3,-70.77588498935262,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.4134245467960624, 'e': 0.6689717585696803}",20,13,-6.546590029350605,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.4092903013281018, 'e': 0.6622820409839835}",30,2,32.841275034552055,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.40519739831482077, 'e': 0.6556592205741436}",25,0,-84.26932088474102,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.40114542433167255, 'e': 0.6491026283684022}",25,14,-7.8158322730239504,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.39713397008835577, 'e': 0.6426116020847181}",25,8,-21.41138495695935,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.39316263038747223, 'e': 0.6361854860638709}",20,0,-45.79017766660364,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
47,False,"{'a': 0.3892310040835975, 'e': 0.6298236312032323}",20,0,0.2296662833796801,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.38533869404276155, 'e': 0.6235253948912}",30,8,-4.069667054921979,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.38148530710233397, 'e': 0.617290140942288}",20,12,-8.261819105893386,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.37767045403131055, 'e': 0.611117239532865}",20,0,-42.0100665585,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.37389374949099746, 'e': 0.6050060671375364}",20,3,-10.734260518774551,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.37015481199608746, 'e': 0.598956006466161}",35,24,24.127666077756643,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.36645326387612664, 'e': 0.5929664464014994}",20,8,-45.17831233049618,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.3627887312373654, 'e': 0.5870367819374844}",25,8,-43.647687064557296,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.3591608439249917, 'e': 0.5811664141181095}",20,8,-55.85315460507766,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.3555692354857418, 'e': 0.5753547499769285}",20,0,-54.801682878823904,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.35201354313088434, 'e': 0.5696012024771592}",20,12,1.7012498179370328,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.3484934076995755, 'e': 0.5639051904523875}",20,14,2.871477080805886,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.34500847362257975, 'e': 0.5582661385478637}",30,19,14.823224161782838,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.341558388886354, 'e': 0.5526834771623851}",25,14,-22.648406161428955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.33814280499749044, 'e': 0.5471566423907612}",35,9,13.12013954477187,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.3347613769475155, 'e': 0.5416850759668536}",25,15,13.967421826362475,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.33141376317804033, 'e': 0.536268225207185}",20,2,-58.46848615730984,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.32809962554625993, 'e': 0.5309055429551132}",20,10,6.167241927902709,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
