trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-128.5416648878142,"{0: 15, 1: 2, 2: 13, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999590490295001}",25,0,-170.51548456314265,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999914196227076}",25,0,-54.47413312407235,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9998529423544665}",20,0,-168.25750563612314,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.999775288416387}",30,0,-159.17699181129944,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9996812356865543}",20,0,-185.12226588977637,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9995707857076662}",30,0,-182.3923502974313,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9994439402913762}",20,0,-104.38265722352317,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9993007015182632}",20,0,-181.74612111228384,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.999141071737798}",25,0,-123.50297158930148,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9989650535683046}",35,11,-157.52497031226096,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 4}",1
12,False,"{'a': 0.5, 'e': 0.9987726498969168}",25,0,-108.7569970593862,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9985638638795319}",25,0,-68.28541615349147,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9983386989407576}",30,0,-162.06644306385655,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9980971587738569}",20,0,-23.050997286725885,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9978392473406867}",20,0,-111.85749481658965,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9975649688716339}",25,0,-123.22237452318782,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9972743278655447}",25,0,-57.852092287718094,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9969673290896517}",30,0,-230.92604296701097,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.9966439775794955}",20,0,-133.72279864586034,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-27.430831994408194,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.15842432894357,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.63037433116057,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.656762527219687,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-63.11393727572819,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-46.232710167254254,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-214.22185719694554,"{0: 16, 1: 1, 2: 8, 3: 3, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-168.0845205199273,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.11135926832817,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.81254544260955,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.98914670575812,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
12,True,"{'a': 0.0, 'e': 0.0}",30,0,-163.63579773204236,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,0,-129.92767572987916,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
14,True,"{'a': 0.0, 'e': 0.0}",35,0,-152.61023028747314,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
15,True,"{'a': 0.0, 'e': 0.0}",35,0,-173.76616678791746,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,0,-65.39991430740326,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,True,"{'a': 0.0, 'e': 0.0}",30,7,-111.08303519105824,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 2}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-128.9088076814984,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.77226254462133,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,-122.82100469355807,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
21,True,"{'a': 0.0, 'e': 0.0}",25,0,-67.99870917857653,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
22,True,"{'a': 0.0, 'e': 0.0}",35,0,-244.8822960180857,"{0: 18, 1: 3, 2: 9, 3: 2, 4: 3}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,-162.83396830652316,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
24,True,"{'a': 0.0, 'e': 0.0}",20,0,-269.5215236483476,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 5}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.59241817758159,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.853496256845446,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,0,-61.25789271572748,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.5826809374971,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.83340425429819,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
30,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.15476304531855,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",20,0,-142.72493041380105,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,0,-212.80738973657253,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
33,True,"{'a': 0.0, 'e': 0.0}",30,0,-157.54384257806666,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",25,0,-203.02729358635767,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,0,-102.41647151227619,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
36,True,"{'a': 0.0, 'e': 0.0}",25,0,-185.97363247595342,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,0,-184.66247407172054,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
38,True,"{'a': 0.0, 'e': 0.0}",25,13,-28.76766776864148,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.38890462016315,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.47730507849938,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,0,-160.33799699659124,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
42,True,"{'a': 0.0, 'e': 0.0}",20,0,-112.54807360569077,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.88781801613293,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",20,0,-146.29872207578825,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
45,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.57493973595254,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
46,True,"{'a': 0.0, 'e': 0.0}",20,0,-76.97243086997891,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
47,True,"{'a': 0.0, 'e': 0.0}",20,0,-151.15299770458765,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
48,True,"{'a': 0.0, 'e': 0.0}",25,0,-53.43203844368512,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.95188460084647,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
50,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.45471840133217,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
51,True,"{'a': 0.0, 'e': 0.0}",30,11,-57.59295171804308,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
52,True,"{'a': 0.0, 'e': 0.0}",25,0,-218.2283736001199,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
53,True,"{'a': 0.0, 'e': 0.0}",20,0,-128.38616061838653,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
